SYNONYM	KEY(TermID)
sixth thoracic dorsal root ganglion	[UBERON_0002849, birnlex_2616]
D	[SO_0001228, PR_000001072]
T	[birnlex_2019, PR_000016001]
P	[PATO_0001346, PR_000011590]
helix	[SO_0001114, SO_0001117]
mitochondrial RNA editing	[GO_1900864, GO_0080156]
Gpr173	[nifext_6570, nifext_6567]
Gpr176	[nifext_7676, nifext_7679]
primosome	[GO_0005658, GO_1990077]
Gpr135	[nifext_5790, nifext_5794]
Gpr142	[nifext_7303, nifext_7300]
Gpr141	[nifext_7803, nifext_7806]
4-beta-xylanase activity	[GO_0051423, GO_0051422]
 DNA damage recognition	[GO_0000715, GO_0000716]
Alcoholic psychoses	[DOID_252, birnlex_12707]
tuberomammillary nucleus	[birnlex_1271, UBERON_0001936]
GTP:GTP guanylyltransferase activity	[GO_0052621, GO_0047351]
in situ hybridization	[nlx_inv_20090610, ERO_0000771]
eighth cervical dorsal root ganglion	[UBERON_0002844, birnlex_2610]
fissura postlingualis cerebelli	[UBERON_0014473, nlx_anat_20081251]
GnRH receptor	[nifext_5280, PR_000001588]
cuneate	[birnlex_2640, UBERON_0002045]
Central Neurocytoma	[birnlex_12628, DOID_14174]
 peristriate	[birnlex_1750, UBERON_0013550]
Habituation Spasm	[nlx_dys_100301, birnlex_12663, DOID_2769]
accessory oculomotor nucleus	[birnlex_822, UBERON_0002141]
nucleus anterior thalami medialis	[UBERON_0002681, birnlex_1365]
IPSP	[NEMO_8396000, GO_0060080]
COMP/iso:1	[PR_000000397, sao2146594471, PR_000000230, PR_000000291]
phagemid vector	[SO_0000157, ERO_0001135]
Schilder-Addison Complex	[DOID_10588, birnlex_12527]
cochlear organ	[UBERON_0001844, birnlex_1190]
Cerebral Beriberi	[birnlex_12708, DOID_2384]
 1823	[birnlex_147, NCBITaxon_7215]
MED1	[PR_000010218, PR_000010279]
oculomotor nerve tree	[UBERON_0001643, birnlex_1646]
phosphatidylserine-specific phospholipase A1 activity	[GO_0052740, GO_0052739]
septal nucleus	[UBERON_0002663, birnlex_1313]
Technology development	[nlx_inv_100615, ERO_0001610]
8L	[PR_000002418, PR_000002420]
reticular part of substantia nigra	[birnlex_968, UBERON_0001966]
DP	[PR_000006711, nifext_7096]
ER	[sao1036339110, GO_0005783]
GC	[birnlex_2410, PR_000007883]
GH	[PR_000007957, PR_000007968]
MC5R	[nifext_6047, PR_000001238]
vitamin or cofactor transporter activity	[GO_0051184, GO_0051183]
AD	[DOID_10652, birnlex_2092]
B1	[nifext_7512, nifext_7876]
C7	[PR_000012097, PR_000004907]
MC3R	[nifext_6037, PR_000001236]
N3	[NEMO_5608000, NEMO_3056000, NEMO_6379000]
N2	[NEMO_3948000, NEMO_8528000]
NA	[PR_000027734, UBERON_2005085]
terminal loop of Schwann cell	[GO_0097456, sao924713546]
pars basalis telencephali	[UBERON_0002743, birnlex_1560]
P1	[SO_0000154, NEMO_0000094]
PL	[PR_000008687, UBERON_0001425]
HR	[GO_0009626, PR_000008744]
lateral medulary stria	[birnlex_1634, UBERON_0002765]
T lymphocyte-secreted protein I-309	[PR_000001985, nifext_5034]
de novo DNA methylation	[GO_0043046, GO_0043045]
Y1	[PR_000016052, nifext_7567]
Y2	[nifext_7600, PR_000013376]
phosphoenolpyruvate carboxylase	[PR_000023498, PR_000012416]
RP	[birnlex_12820, DOID_10584]
PP	[PR_000013164, UBERON_0003142]
lateral nuclear group of thalamus	[UBERON_0002736, birnlex_1537]
regulation of calcium ion concentration	[GO_0055074, GO_0006874]
cochlear duct	[UBERON_0001855, birnlex_2562, UBERON_0002295]
lumbar spinal ganglion	[UBERON_0002836, birnlex_2601]
IRK1	[PR_000002056, nifext_2897]
Astroglioma	[DOID_3069, birnlex_12619]
MCT3	[PR_000014951, PR_000014956]
external pyramidal layer of cerebral cortex	[UBERON_0005392, nlx_anat_090809]
inner mitochondrial membrane	[GO_0005743, sao1371347282]
NIEMANN-PICK DISEASE WITH CHOLESTEROL ESTERIFICATION BLOCK	[DOID_14504, birnlex_12538]
nucleus component	[GO_0044428, sao1499850686]
(Drosophila)Tp	[SO_1000041, SO_1000155]
medial nucleus of mammillary body	[UBERON_0001939, birnlex_1299]
microtubule fascicle	[GO_0097427, sao1872343973]
segment of forebrain	[UBERON_0002780, birnlex_1677]
Taar8a	[PR_000016886, nifext_7381]
Ischaemic encephalopathy	[birnlex_12781, DOID_2316]
acyl-CoA or acyl binding	[GO_0000062, GO_0000035]
MVB-tubule complex	[GO_0097443, sao1028571114]
t9 segment	[birnlex_1584, UBERON_0006465]
somatosensory_cortex	[NEMO_7107000, NEMO_5517000]
reuniens thalamic nucleus	[UBERON_0001921, birnlex_770]
MCP2	[PR_000002126, nifext_5040]
eag1a	[nifext_2817, PR_000000788]
 unspecified	[birnlex_12655, DOID_8529, DOID_11030, DOID_11664, DOID_9283, DOID_6195, DOID_1498, DOID_1824, DOID_1468, DOID_13790, DOID_2456, DOID_13223, DOID_1325, DOID_3426, DOID_11782, birnlex_12750, DOID_543, DOID_1844, DOID_869]
USP21	[PR_000017163, PR_000017160]
Pelizaeus-Merzbacher disease (disorder)	[birnlex_12546, DOID_3210]
