New term	relation	parent term	synonym
planum temporale	part-of	temporal lobe	
occipital fusiform gyrus	part-of	fusiform gyrus	
superior lateral occipital cortex	part-of	lateral occipital cortex	lateral occipital cortex, superior division
inferior lateral occipital cortex	part-of	lateral occipital cortex	lateral occipital cortex, inferior division
anterior parahippocampal gyrus	part-of	parahippocampal gyrus	parahippocampal gyrus, anterior division
temporal fusiform gyrus	part-of	fusiform gyrus	
anterior temporal fusiform gyrus	part-of	temporal fusiform gyrus	temporal fusiform cortex, anterior division
posterior temporal fusiform gyrus	part-of	temporal fusiform gyrus	temporal fusiform cortex, posterior division
heschl's gyrus	part-of	temporal lobe	
paracingulate gyrus			
crus I	part-of	cerebellum	crus 1
crus II	part-of	cerebellum	crus 2
superior longitudinal fasciculus	part-of	cerebral white matter	
temporal part of superior longitudinal fasciculus	part-of	superior longitudinal fasciculus	superior longitudinal fasciculus, temporal division
genu of corpus callosum	part-of	corpus callosum	
tapetum of corpus callosum	part-of	corpus callosum	
pontine crossing tract	part-of	middle cerebellar peduncle	
body of corpus callosum	part-of	corpus callosum	
anterior corona radiata	part-of	corona radiata	
posterior corona radiata	part-of	corona radiata	
superior corona radiata	part-of	corona radiata	
cingulum	part-of	cerebral white matter	
cingulum (hippocampal)	part-of	cingulum	
cingulum (cingulate gyrus)	part-of	cingulum	
superior fronto-occipital fasciculus	part-of	cerebral white matter	
saggital stratum	part-of	cerebral white matter	
thalamic radiation	part-of	cerebral white matter	
anterior thalamic radiation	part-of	thalamic radiation	
posterior thalamic radiation	part-of	thalamic radiation	
splenium of corpus callosum	part-of	corpus callosum	
retrolenticular part of internal capsule	part-of	internal capsule	
inferior longitudinal fasciculus	part-of	cerebral white matter	
forceps major	part-of	cerebral white matter	
forceps minor	part-of	cerebral white matter	
inferior fronto-occipital fasciculus	part-of	cerebral white matter	
visual area V1	part-of	visual cortex	
visual area V2	part-of	visual cortex	
visual area V3	part-of	visual cortex	
visual area V4	part-of	visual cortex	
visual area V3v	part-of	visual area V3	
visual cortex	part-of	occipital lobe	
visual area V5	part-of	visual cortex	
centromedial amygdala	part-of	amygdala	
basolateral amygdala	part-of	amygdala	
anterior intraparietal sulcus	part-of	intraparietal sulcus	
area hIP1 of anterior intraparietal sulcus	part-of	anterior intraparietal sulcus	
area hIP2 of anterior intraparietal sulcus	part-of	anterior intraparietal sulcus	
brodmann (1909) area 4a	part-of	brodmann (1909) area 4	
brodmann (1909) area 4p	part-of	brodmann (1909) area 4	
superficial amygdala	part-of	amygdala	
superior temporal plane	part-of	temporal lobe	
primary auditory cortex	part-of	superior temporal plane	
morosan (2001) area TE1.0	part-of	primary auditory cortex	
morosan (2001) area TE1.1	part-of	primary auditory cortex	
morosan (2001) area TE1.2	part-of	primary auditory cortex	
optic radiation	part-of	cerebral white matter	
area hIP3 of anterior intraparietal sulcus	part-of	anterior intraparietal sulcus	
brodmann (1909) area 3a	part-of	primary somatosensory cortex	
brodmann (1909) area 3b	part-of	primary somatosensory cortex	
acoustic radiation	part-of	cerebral white matter	
mars (2011) SPLa	part-of	superior parietal lobule	
mars (2011) SPLb	part-of	superior parietal lobule	
mars (2011) SPLc	part-of	superior parietal lobule	
mars (2011) SPLd	part-of	superior parietal lobule	
mars (2011) SPLe	part-of	superior parietal lobule	
mars (2011) IPLa	part-of	inferior parietal lobule	
mars (2011) IPLb	part-of	inferior parietal lobule	
mars (2011) IPLc	part-of	inferior parietal lobule	
mars (2011) IPLd	part-of	inferior parietal lobule	
mars (2011) IPLe	part-of	inferior parietal lobule	
mars (2012) TPJa	part-of	temporoparietal junction	
mars (2012) TPJb	part-of	temporoparietal junction	
inferior frontal junction	part-of	frontal lobe	
neubert (2014) fop	part-of	frontal lobe	
neubert (2014) ifs	part-of	frontal lobe	
neubert (2014) 46	part-of	frontal lobe	
neubert (2014) 47	part-of	frontal lobe	
neubert (2014) 44v	part-of	frontal lobe	
neubert (2014) fpm	part-of	frontal lobe	
neubert (2014) 6r	part-of	frontal lobe	
neubert (2014) 6v	part-of	frontal lobe	
neubert (2014) fpl	part-of	frontal lobe	
neubert (2014) 45a	part-of	frontal lobe	
neubert (2014) ifj	part-of	frontal lobe	
neubert (2014) 44d	part-of	frontal lobe	
limbic striatum	part-of	striatum	
ventral striatum	part-of	striatum	
sensorimotor striatum	part-of	striatum	
